gwas,specificity_id,conditional_annotation,annotation,beta,beta_se,pvalue
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Heart.smooth_muscle_cell,1.0588692140291118e-08,5.566226839031385e-09,0.028565282445547024
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Brain_Non-Myeloid.brain_pericyte,7.811921340693291e-09,4.593435080146262e-09,0.04450240184296688
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.pancreatic_A_cell,7.939911682204028e-09,5.394114939428664e-09,0.07051608367477126
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.pancreatic_acinar_cell,9.200264342176376e-09,6.2558716889263945e-09,0.07069145609801203
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,6.72139629230838e-09,4.853170060749559e-09,0.08303392821906924
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.B_cell,9.583171066449351e-09,7.840227997568236e-09,0.11079564388282842
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Spleen.macrophage,8.517033062233134e-09,7.2958214555093825e-09,0.1215274482547109
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Brain_Non-Myeloid.oligodendrocyte,4.7116101391215245e-09,4.214642774310921e-09,0.13180176240197589
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Kidney.endothelial_cell,1.0019187266496276e-08,9.101098422695144e-09,0.13547516039146695
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.pancreatic_D_cell,4.234220605938917e-09,4.073684486079627e-09,0.14930749185822415
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.monocyte,6.598259276917909e-09,6.707953322082036e-09,0.16264451282512787
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.hematopoietic_precursor_cell,5.3900260731235104e-09,5.663482799279807e-09,0.17062056662379702
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.type_B_pancreatic_cell,3.835168259557118e-09,4.074970731288215e-09,0.1733133969994463
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Thymus.immature_T_cell,4.426976878084564e-09,4.7657068131827546e-09,0.17646437615293714
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.immature_T_cell,5.662235564427273e-09,6.240817181971688e-09,0.182126538023706
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.basophil,9.923180058556197e-09,1.0949776123017432e-08,0.18240309004430175
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Limb_Muscle.skeletal_muscle_satellite_cell,4.379868930796101e-09,5.018066787634023e-09,0.19138060495791048
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Limb_Muscle.skeletal_muscle_satellite_stem_cell,4.695344450829676e-09,5.610915505498802e-09,0.20134596817158468
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Brain_Non-Myeloid.Bergmann_glial_cell,3.796090640841496e-09,4.6800503736956994e-09,0.2086478787965737
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.pancreatic_PP_cell,5.7009169663957505e-09,7.159158263875201e-09,0.2129256268859499
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.natural_killer_cell,5.842437435461566e-09,7.4349690469144866e-09,0.21599080604475573
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Spleen.T_cell,3.635043208287711e-09,5.2717531177073676e-09,0.2452442274426576
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Thymus.leukocyte,5.452879705550191e-09,8.174748101783173e-09,0.2523734585522456
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Liver.B_cell,5.216364510290539e-09,8.111960042175973e-09,0.2600970839336254
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Fat.T_cell,3.6597669005209008e-09,5.749848847007502e-09,0.262225964214028
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Spleen.B_cell,4.015546638168542e-09,6.532943866614226e-09,0.26938926845198463
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.T_cell,3.830077580054084e-09,6.754086255445334e-09,0.2853314065639283
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.granulocytopoietic_cell,2.1779565194551097e-09,4.997202807322128e-09,0.3314781779485759
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.Slamf1-positive_multipotent_progenitor_cell,2.275394620992808e-09,5.2713944441882874e-09,0.33299809869641306
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Large_Intestine.enteroendocrine_cell,2.2273234216497493e-09,5.209817515179242e-09,0.33449875639797416
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Brain_Non-Myeloid.astrocyte,1.5183264252066653e-09,3.888718751699189e-09,0.34810417413150296
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.Slamf1-negative_multipotent_progenitor_cell,1.7978327318990433e-09,5.049730896279837e-09,0.3609107516986694
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Bladder.bladder_cell,1.418467246285694e-09,4.075227217940099e-09,0.3638935389085624
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.naive_B_cell,2.044310522858013e-09,5.914298202448585e-09,0.3648007633115545
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.common_lymphoid_progenitor,1.6025862317197016e-09,5.20711042962622e-09,0.3791291244277498
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Fat.natural_killer_cell,2.0418491903886325e-09,7.101718702090247e-09,0.38685908793536905
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.pancreatic_stellate_cell,1.454696444569702e-09,5.079183325530515e-09,0.3872845047169197
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.leukocyte,1.6960896248812187e-09,7.601941313329756e-09,0.4117238985223596
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Heart.unknown_cell_type,9.891819329786704e-10,5.125380788019258e-09,0.4234807491668008
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.leukocyte,9.715412122256227e-10,6.621467501414314e-09,0.4416741614498895
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.mature_natural_killer_cell,7.728862048623868e-10,6.315329954682814e-09,0.45129802754111104
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.macrophage,4.689777055296814e-10,5.216266865977811e-09,0.4641806506188342
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Kidney.leukocyte,6.884580576526294e-10,7.867957667250817e-09,0.4651364486182649
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.immature_NK_T_cell,2.405879814859047e-10,5.875340287788299e-09,0.4836683670099682
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.pancreatic_ductal_cell,-9.935081340405913e-11,4.5321286571030075e-09,0.5087446912555721
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.immature_B_cell,-1.7330478903964377e-10,4.882963732403297e-09,0.5141561762605861
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Fat.unknown_cell_type,-1.9619177387310682e-10,5.389247600539651e-09,0.5145200062967096
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Kidney.macrophage,-3.083470147344248e-10,7.358373384206686e-09,0.5167124802296331
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.megakaryocyte-erythroid_progenitor_cell,-2.5129572957444453e-10,5.43957362150885e-09,0.5184236577247986
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.granulocyte,-3.0606503138939573e-10,4.761929899176444e-09,0.5256237003898349
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.classical_monocyte,-1.0630029068042786e-09,7.092132011861279e-09,0.5595722545575071
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Trachea.blood_cell,-1.2978371524979616e-09,5.11447459845037e-09,0.6001586108203251
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Skin.keratinocyte_stem_cell,-1.5418972778718153e-09,5.209330004393924e-09,0.6163802385366275
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Liver.natural_killer_cell,-2.072125377532493e-09,6.735405991930418e-09,0.6208244067339085
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Fat.mesenchymal_stem_cell_of_adipose,-1.3816541878731835e-09,4.2587703000246275e-09,0.6271920864580993
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Mammary_Gland.luminal_epithelial_cell_of_mammary_gland,-1.4862675577887694e-09,4.4929974632208245e-09,0.6296008742713548
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Fat.B_cell,-2.155732771795703e-09,6.344734587711329e-09,0.6329840786445105
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Brain_Myeloid.macrophage,-2.5985538824188447e-09,6.414171430815877e-09,0.6573079111909852
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.B_cell,-3.2926166978737487e-09,7.92978386839123e-09,0.6610101169386702
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Trachea.mesenchymal_cell,-1.769052672720458e-09,4.081099401018083e-09,0.6676649696010949
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.immature_natural_killer_cell,-3.0496284398532098e-09,6.480167721922982e-09,0.6810401860088914
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Limb_Muscle.B_cell,-3.82459917843678e-09,7.298098459210874e-09,0.6998795800731408
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Heart.myofibroblast_cell,-2.5095129297776104e-09,4.6885156469070965e-09,0.7037603908845321
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Brain_Myeloid.microglial_cell,-2.537140284255917e-09,4.678553498723167e-09,0.7061911809152085
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Liver.Kupffer_cell,-3.880359959310378e-09,7.081286067786914e-09,0.7081450886131627
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.pre-natural_killer_cell,-3.7137933029883774e-09,6.212210238430222e-09,0.7250205030923135
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.epithelial_cell_of_lung,-3.3600446150738766e-09,5.085364171452485e-09,0.7456067515451152
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Heart.leukocyte,-3.9044631492739465e-09,5.552336568994039e-09,0.7590378112457722
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Liver.endothelial_cell_of_hepatic_sinusoid,-3.601068863870469e-09,5.0013945268248175e-09,0.7642414911224973
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Kidney.kidney_collecting_duct_epithelial_cell,-5.318927037095105e-09,7.310053028136324e-09,0.7665763071391141
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Trachea.endothelial_cell,-3.7452205789673255e-09,5.073731355208108e-09,0.7697910897644882
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Trachea.epithelial_cell,-3.167734562176573e-09,4.1802940510032074e-09,0.7757080308589752
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Tongue.keratinocyte,-3.366581227620268e-09,4.361197299566754e-09,0.7799249214319566
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.unknown_cell_type,-5.624348613347562e-09,7.103711408598179e-09,0.7857461577189389
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.granulocyte_monocyte_progenitor_cell,-4.231986094748325e-09,5.298644059165494e-09,0.7877655673189068
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.monocyte,-4.239950835993199e-09,5.284652609374564e-09,0.7888143303943292
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.endothelial_cell,-4.728071695309296e-09,5.729405419284414e-09,0.7953792133922957
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.stromal_cell,-3.655925258046782e-09,4.264509898120562e-09,0.8043579142516855
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Limb_Muscle.lymphocyte,-6.808292111533182e-09,7.750497210380827e-09,0.8101455946182594
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Large_Intestine.large_intestine_goblet_cell,-3.25133571314432e-09,3.6927007853939815e-09,0.8106993445237727
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Brain_Non-Myeloid.endothelial_cell,-4.221863557919201e-09,4.722679142279444e-09,0.8143270681415818
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Fat.myeloid_cell,-4.928572288094001e-09,5.395765188253987e-09,0.8194878124289469
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Mammary_Gland.basal_cell,-4.693323993472591e-09,4.8522502194787945e-09,0.8332896897053133
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.myeloid_cell,-6.765996678564654e-09,6.29916800678531e-09,0.8586132134851154
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Limb_Muscle.endothelial_cell,-5.810835280367992e-09,5.3892511617248874e-09,0.8595337328293656
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.lung_endothelial_cell,-4.86009106277052e-09,4.423556708971367e-09,0.8640470421822959
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.late_pro-B_cell,-4.730810338369168e-09,4.1886532918561395e-09,0.8706427473778209
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Limb_Muscle.T_cell,-6.615161854245296e-09,5.810428027804968e-09,0.8725437450873232
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Skin.leukocyte,-8.818196686776009e-09,7.471442617930609e-09,0.8810503071011297
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Thymus.DN1_thymic_pro-T_cell,-7.944723333799624e-09,6.509090228780773e-09,0.888873326042747
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.precursor_B_cell,-5.2403699341729526e-09,4.2393213833719035e-09,0.891795648568619
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.regulatory_T_cell,-8.265604832834029e-09,6.558727430677326e-09,0.8962095409865427
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Kidney.epithelial_cell_of_proximal_tubule,-6.667816713681277e-09,5.220195901483842e-09,0.8992538678358671
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Mammary_Gland.endothelial_cell,-8.549224448849541e-09,6.5929041431277354e-09,0.9026381535087172
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Skin.stem_cell_of_epidermis,-6.330037739305389e-09,4.869886047477857e-09,0.9031708637844641
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Large_Intestine.enterocyte_of_epithelium_of_large_intestine,-6.239781596386946e-09,4.048145783723283e-09,0.938389357257106
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Heart.erythrocyte,-7.930163119269726e-09,5.011444158254484e-09,0.943222084121632
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Liver.hepatocyte,-9.344817473918664e-09,5.233748151592974e-09,0.9629092573531792
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Tongue.basal_cell_of_epidermis,-6.8889814535703005e-09,3.833888560590041e-09,0.9638214995008336
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Heart.fibroblast,-7.984092127481491e-09,4.159434619327144e-09,0.9725403288677428
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Skin.epidermal_cell,-8.258011748462109e-09,4.256912256443188e-09,0.9738044728904108
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Limb_Muscle.macrophage,-1.372134184025697e-08,6.740967615665316e-09,0.979100468125788
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Large_Intestine.epithelial_cell_of_large_intestine,-8.283722511539797e-09,4.0581303685103574e-09,0.9793877900372756
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Fat.endothelial_cell,-9.667718883126856e-09,4.4767221257611704e-09,0.9845963565086856
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine,-1.092985773109266e-08,5.011834858824575e-09,0.9854012500507018
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Skin.basal_cell_of_epidermis,-8.836493238344391e-09,3.816130888694333e-09,0.9897089420182597
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Limb_Muscle.mesenchymal_stem_cell,-9.050382484424116e-09,3.8271365714097345e-09,0.9909799035680454
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.ciliated_columnar_cell_of_tracheobronchial_tree,-1.0477718779097431e-08,4.409609261645566e-09,0.9912518883375676
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Heart.endocardial_cell,-1.0427856022358827e-08,4.164828752736976e-09,0.9938564507074996
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Heart.cardiac_muscle_cell,-1.0415526295361434e-08,4.146362057317633e-09,0.9939969909616369
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Mammary_Gland.stromal_cell,-1.0446255836024857e-08,4.047777177892289e-09,0.9950705435632388
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Heart.professional_antigen_presenting_cell,-1.1286629008517399e-08,4.289527724091463e-09,0.9957458716166592
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Heart.endothelial_cell,-1.3101560960596225e-08,4.467918494444053e-09,0.9983180360050641
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Bladder.bladder_urothelial_cell,-1.1654015824929117e-08,3.9545031592045475e-09,0.9983957586382796
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Brain_Non-Myeloid.neuron,1.9187699347369442e-08,4.433630813079388e-09,7.531602483558835e-06
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Pancreas.pancreatic_A_cell,1.0587447416393224e-08,4.850180139269104e-09,0.01452166960492131
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Pancreas.pancreatic_D_cell,8.264645918857714e-09,4.114088338957919e-09,0.022275754051438626
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Brain_Non-Myeloid.brain_pericyte,9.177690749672952e-09,4.60385556124154e-09,0.023104494147570563
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Heart.smooth_muscle_cell,1.0358314895941903e-08,5.594159794554853e-09,0.03203947581589564
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Pancreas.type_B_pancreatic_cell,7.553337848850963e-09,4.0838030918755326e-09,0.03218674782077142
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Pancreas.pancreatic_acinar_cell,1.1209394519854664e-08,6.414304333995458e-09,0.040269949987445416
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Pancreas.pancreatic_PP_cell,8.902339263150513e-09,6.410372720635161e-09,0.08245595455643763
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Marrow.B_cell,1.0411563806406892e-08,7.905620261756424e-09,0.09392223956728124
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Spleen.macrophage,8.623697839527503e-09,7.441465597195549e-09,0.12325440863422432
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Thymus.immature_T_cell,4.930468019640292e-09,4.880054162398295e-09,0.15616846413653662
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Kidney.endothelial_cell,9.233124401445097e-09,9.201140383295447e-09,0.15781560311992898
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Marrow.hematopoietic_precursor_cell,5.562051118642564e-09,5.6984302175466976e-09,0.16451556941780401
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Large_Intestine.enteroendocrine_cell,4.76412302642311e-09,5.191515190473616e-09,0.1793945539865623
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Marrow.basophil,9.860750862140671e-09,1.0890441614033005e-08,0.18261350638575108
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Limb_Muscle.skeletal_muscle_satellite_cell,4.423939001235818e-09,4.992053714529846e-09,0.18775590715649493
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Brain_Non-Myeloid.oligodendrocyte,4.310243712451791e-09,4.9810899653265465e-09,0.19343120578979944
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Marrow.immature_T_cell,5.495448697612923e-09,6.393520731255956e-09,0.1950229743347836
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Lung.monocyte,5.497159616001557e-09,6.7408589592540205e-09,0.20739354341654748
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Limb_Muscle.skeletal_muscle_satellite_stem_cell,4.395055556354513e-09,5.649895335554949e-09,0.2183138811073837
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Brain_Non-Myeloid.Bergmann_glial_cell,3.856712815831104e-09,5.178643471374504e-09,0.2282162150173259
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Thymus.leukocyte,6.0372147407345774e-09,8.184066747048887e-09,0.23035474707362055
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Lung.natural_killer_cell,5.472199585999701e-09,7.535585575816325e-09,0.23386388801266195
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Spleen.T_cell,3.875639650497356e-09,5.360201378568634e-09,0.2348276751551648
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Liver.B_cell,5.807693111041329e-09,8.173234946558253e-09,0.2386739453825835
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Marrow.granulocytopoietic_cell,3.460388641157405e-09,5.120309315841473e-09,0.2495786332472032
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Marrow.Slamf1-positive_multipotent_progenitor_cell,3.443845985882079e-09,5.27531099410335e-09,0.256935097016176
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Fat.T_cell,3.643483943011715e-09,5.7249529401560146e-09,0.26225081974390113
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Spleen.B_cell,4.075876909800512e-09,6.8026301029505286e-09,0.2745324570021869
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Lung.T_cell,3.8090634649330535e-09,6.856534789256054e-09,0.2892634705402831
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Marrow.common_lymphoid_progenitor,2.496373777509299e-09,5.314943937444255e-09,0.3192884073066041
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Marrow.Slamf1-negative_multipotent_progenitor_cell,2.1123740322243257e-09,5.076237554256242e-09,0.3386574898255952
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Marrow.naive_B_cell,2.1570591352050047e-09,5.9183548042577255e-09,0.3577537656222939
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Brain_Non-Myeloid.astrocyte,1.5263834300802115e-09,4.3036867003717294e-09,0.3614188608330431
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Fat.natural_killer_cell,1.7271014778437264e-09,7.204471814797971e-09,0.4052712167372836
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Marrow.macrophage,1.0720655354757205e-09,5.333568976150462e-09,0.420347955033504
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Fat.unknown_cell_type,8.725241354950318e-10,5.288068072801769e-09,0.4344725191649582
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Lung.leukocyte,8.232573849660041e-10,6.6816481980856015e-09,0.4509697214646802
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Marrow.megakaryocyte-erythroid_progenitor_cell,4.3729197045636426e-10,5.4899987415990895e-09,0.4682568306094111
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Marrow.mature_natural_killer_cell,5.035221683424055e-10,6.4919694547575e-09,0.4690887235293834
